Name|m_Name|Mass
Sun          | | 1.00
DM-37 15492  | | 0.28
G 158-27     | | 0.09
G 158-50     | | 0.17
DM+43 44     |A| 0.49
             |B| 0.10
             |C| 0.24
zet Tuc      | | 1.10
bet Hyi      | |
DM+66 34     |A| 0.36
             |B| 0.28
             |C| 0.13
54 Psc       | | 0.88
DM+4 123     | | 0.80
eta Cas      |A| 0.88
             |B| 0.54
             |C| 0.50
v.Maanen     | |
G 242-76     | | 0.28
DM+61 195    | | 0.65
V388 Cas     | | 0.18
G 268-110    | |
mu Cas       |A| 0.80
             |B| 0.20
DM-68 41     | |
L 725-32     | | 0.18
L 726-8      |A| 0.10
UV Cet       |B| 0.09
P Eri        |A| 0.88
DM-58 328    |B| 0.88
107 Psc      | | 0.84
G 3-14       | | 0.43
tau Cet      | | 0.94
DM+63 238    | | 0.88
DM-23 693    | | 0.49
G 3-33       | | 0.18
DM+61 366    | | 0.65
DM-18 359    | | 0.52
DM+2 348     | | 0.36
DM-32 828    | | 0.50
DM+47 612    | | 0.43
L 1305-10    | | 0.10
DM+6 398     |A| 0.75
             |B| 0.28
             |C| 0.10
G 36-31      | | 0.28
DM-13 544    | | 0.88
G 77-31      | | 0.10
kap Cet      | | 1.02
82 Eri       | | 1.02
eps Eri      | | 0.80
LTT-1702     | | 0.09
del Eri      | |
G 160-28     | | 0.16
DM-1 565     |A| 0.65
             |B| 0.36
             |C| 0.40
40 Eri       |A| 0.84
DM-7 781     |B| 0.43
LTT-1909     |C| 0.20
DM+21 652    | | 0.49
G 175-34     |A| 0.28
             |B|
DM+18 683    | | 0.36
pi (3) Ori   | | 1.23
DM-5 1123    | | 0.75
DM-21 1051   |A| 0.49
             |B| 0.43
Kapteyn      | | 0.52
Ross 41      | | 0.19
DM-3 1123    | | 0.49
DM+53 935    | | 0.43
G 102-22     | | 0.28
gam Lep      |A| 1.23
DM-22 1210   |B| 0.80
             |C| 0.10
             |D| 0.36
chi (1) Ori  |A| 1.10
             |B| 0.70
LP 658-2     | |
G 99-47      | |
G 222-11     | | 0.43
DM+10 1032   |A| 0.36
             |B| 0.28
DM-21 1377   | | 0.49
alf Men      | | 1.02
Ross  64     | | 0.10
Ross 614     |A| 0.13
             |B| 0.08
DM+17 1320   | | 0.49
Sirius       |A| 2.17
             |B| 0.99
DM-5 1844    |A| 0.62
             |B| 0.48
G 87-12      | | 0.28
DM-44 3045   |A| 0.28
             |B| 0.28
G 109-35     | | 0.09
G 87-26      |A| 0.18
             |B| 0.10
G 107-65     | | 0.43
Luyten       | | 0.28
AC+68 3124   | | 0.52
G 107-69     |A|
G 107-70     |B|
Procyon      |A| 1.78
             |B| 0.66
             |C|
L 745-46     |A|
             |B| 0.50
YZ CMi       | | 0.28
L 961-1      |A| 0.14
             |B| 0.08
L 97-12      | |
G 111-47     | | 0.20
Ross 619     | | 0.18
L 674-15     | | 0.50
G 51-15      | | 0.08
LP 425-140   | | 0.08
L 675-81     | | 0.50
DM-32 5613   | |
DM+12 1944   | | 0.18
G 9-38       |A| 0.09
             |B| 0.09
DM+53 1320   |A| 0.52
DM+53 1321   |B| 0.52
LTT 3435     | | 0.16
DM-59 1362   | | 0.52
DM-12 2918   |A| 0.28
             |B| 0.28
11 LMi       |A| 0.90
             |B| 0.18
L 678-39     | |
LTT-3572     | | 0.14
DM-45 5378   | | 0.28
DM+48 1829   | | 0.43
DM+50 1725   | | 0.57
L 968-22     | | 0.52
DM-3 2870    | | 0.43
L 824-28     | | 0.52
AD Leo       | | 0.28
DM+1 2447    | | 0.43
L 897-16     | | 0.50
L 1545-74    | | 0.17
Wolf 358     |A| 0.18
             |B| 0.10
Wolf 359     | | 0.10
G 58-32      | | 0.36
Lalande 21185| | 0.43
DM+44 2051   |A| 0.43
WX UMa       |B| 0.18
DM-23 9765   | | 0.50
xi UMa       |A| 1.10
             |B| 1.10
             |C| 1.00
             |D| 1.00
SZ UMa       | | 0.49
DM-19 3242   |A| 0.52
             |B| 0.28
DM-25 8682   | | 0.97
DM-32 8179   |A| 0.88
VB 4         |B| 0.09
61 UMa       | | 0.94
DM+27 28217  | | 0.36
DM-51 5974   | |
DM+49 2079   | | 0.80
L 145-141    | |
AC+79 3888   | | 0.30
Ross 128     | | 0.18
bet Vir      | | 1.16
G 122-49     | | 0.10
DM+36 2219   | | 0.49
DM+38 2285   |A| 0.94
             |B| 0.14
DM-26 8883   | | 0.65
G 13-22      | | 0.19
L 1190-34    | | 0.50
Ross 695     | | 0.28
Wolf 424     |A| 0.28
             |B| 0.09
bet CVn      |A| 1.10
             |B| 0.50
DM+46 1797   | | 0.70
DM-51 6859   | | 0.48
Wolf 433     | | 0.28
DM+34 2342   | | 0.70
Wolf 437     | | 0.28
G 237-78     | | 0.36
Wolf 457     | |
Wolf 461     | | 0.18
DM+13 2618   | | 0.43
DM-37 8437   | | 1.07
bet Com      | | 1.10
61 Vir       | | 1.00
DM+35 2436   |A| 0.52
             |B| 0.26
             |C| 0.28
DM+48 2108   |A| 0.45
             |B| 0.31
DM+11 2576   | | 0.49
Wolf 489     | |
DM+36 2393   | | 0.43
DM+46 1889   | | 0.43
DM+15 2620   | | 0.28
eta Boo      |A|
             |B| 0.08
DM-58 5467   | | 0.75
DM-11 3759   | | 0.28
alf Cen      |A| 1.11
             |B| 0.92
Proxima Cen  |C| 0.18
xi Boo       |A| 0.87
             |B| 0.74
DM-20 4125   |A| 0.65
DM-20 4123   |B| 0.43
DM+13 2901   | | 1.00
DM-7 4003    | | 0.18
DM-40 9712   | | 0.28
L 768-119    | | 0.18
L 1346-53    | | 0.30
DM-37 10765  |A| 0.28
             |B| 0.09
DM+21 2902   | | 0.97
DM-24 12677  | | 0.43
G 202-45     | | 0.36
G 202-48     | | 0.43
DM-12 4523   |A| 0.28
             |B| 0.20
L 339-19     | |
zet Her      |A| 1.18
             |B| 0.76
DM+33 2777   | | 0.57
V 1054 Oph   |A| 0.42
             |B| 0.42
VB 8         |C| 0.09
Wolf 629     |D|
             |E| 0.08
G 19-7       | | 0.24
DM+25 3173   | | 0.43
DM-4 4226    | | 0.28
Ross 863     | | 0.40
DM+45 2505   |A| 0.28
             |B| 0.31
36 Oph       |A| 0.88
             |B| 0.84
DM-26 12036  |C| 0.65
41 Ara       |A| 0.94
             |B| 0.52
             |C| 0.10
             |D| 0.09
DM-34 11626  |A| 0.78
             |B| 0.65
LTT 6889     |C| 0.43
DM+2 3312    | | 0.57
DM-46 11540  | | 0.38
DM+5 3409    |A| 0.49
             |B| 0.10
DM-44 11909  | | 0.18
G 170-55     | | 0.49
DM+68 946    | | 0.28
mu Ara       | | 1.02
L 205-128    | | 0.50
DM+43 2796   | | 0.36
mu Her       |A| 0.52
             |B| 0.52
             |C| 0.28
             |D| 0.18
G 240-72     | |
Barnard      | | 0.18
DM-3 4233    | | 0.43
70 Oph       |A| 0.89
             |B| 0.65
G 154-44     | | 0.10
chi Dra      |A| 1.48
             |B| 1.13
G 227-29     | | 0.11
Vega         | | 2.40
G 184-19     |A|
             |B|
DM+59 1915   |A| 0.43
             |B| 0.42
V 1216 Sgr   | | 0.28
DM+52 2294   | | 0.94
G 184-48     |A| 0.40
G 184-49     |B| 0.40
AC+32 54804  |A| 0.28
             |B| 0.18
DM+4 4048    |A| 0.36
v.Biesbroeck |B| 0.18
L 347-14     | | 0.09
LTT 7658     |A|
LTT 7659     |B| 0.36
G 185-18     | | 0.15
sig Dra      | | 0.88
Ross 165     |A| 0.28
             |B| 0.10
Altair       | | 1.75
G 208-44     |A| 0.09
G 208-45     |B| 0.09
del Pav      | | 1.00
DM-36 13940  |A| 0.75
             |B| 0.18
DM-45 13677  | | 0.52
DM-27 14659  | | 0.88
Wolf 1069    | | 0.11
G 24-16      |A| 0.10
             |B| 0.10
AC+65 6955   | | 0.36
G 144-25     | | 0.30
DM-31 17815  |A| 0.52
DM-32 16135  |B| 0.28
             |C| 0.28
AC-20 76187  | |
DM+61 2068   | | 0.43
61 Cyg       |A| 0.70
             |B| 0.70
DM-39 14192  | | 0.52
gam Pav      | | 1.23
G 126-4      | | 0.28
Wolf 922     | | 0.28
DM-49 13515  | | 0.49
AY Ind       | | 0.43
DM+20 5046   | | 0.65
DM-5 5674    | | 0.80
G 126-49     | | 0.28
eps Ind      | | 0.70
DM+0 4810    | | 0.56
DM-5 5715    | | 0.36
Wolf 1561    |A| 0.28
             |B| 0.09
Kruger 60    |A| 0.27
DO Cep       |B| 0.28
L 789-6      | | 0.10
DM-21 6267   |A| 0.43
L 717-22     |B| 0.28
             |C| 0.35
EV Lac       | | 0.18
DM-15 6290   | | 0.18
LP 701-29    | | 0.09
L 49-19      | |
LTT 9281     | | 0.32
DM-32 17321  | | 0.65
DM+15 4733   |A| 0.43
             |B| 0.40
Fomalhaut    | | 2.05
DM-23 17699  | | 0.49
DM-36 15693  | | 0.43
DM+56 2966   | | 0.75
DM+19 5116   |A| 0.28
EQ Peg       |B| 0.10
G 157-77     | | 0.09
DM-73 2299   | | 0.75
Ross 248     | | 0.10
G 130-4      | | 0.20
DM+1 4774    | | 0.43
L 362-81     | |
