N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
1   |HD 5015                            |PM*|00 53 04.1958850619 +61 07 26.301822158| 5.43 | 5.34 | 4.80 | 4.32 | 4.02 |F9V                  | 205 |   0
2   |* nu. Sco                          |** |16 11 59.73568 -19 27 38.5361          | 3.42 | 4.05 | 4.00 | 3.90 | 3.87 |B2V                  | 356 |   0
3   |* pi.02 UMa                        |PM*|08 40 12.8204103814 +64 19 40.573003186| 6.94 | 5.78 | 4.61 | 3.72 | 3.09 |K1+III               | 147 |   1
4   |* tet Cen                          |PM*|14 06 40.94752 -36 22 11.8371          | 3.94 | 3.04 | 2.05 | 1.29 | 0.76 |K0-IIIb              | 238 |   0
5   |* del Cap                          |Al*|21 47 02.4442395 -16 07 38.233507      | 3.22 | 3.12 | 2.83 | 2.59 | 2.43 |kA5hF0mF2III         | 259 |   0
6   |* n Vel                            |*  |08 41 13.1296633773 -47 19 01.661000818| 5.01 | 4.89 | 4.77 | 4.56 | 4.37 |A5II                 |  46 |   0
7   |* eta Lup                          |*  |16 00 07.3278558 -38 23 48.151245      | 2.36 | 3.19 | 3.41 |     ~|     ~|B2.5IV               | 146 |   0
8   |* zet Hyi                          |PM*|02 45 32.6337977530 -67 36 59.832650544|     ~| 4.886| 4.820|     ~|     ~|A2IV/V               |  40 |   0
9   |* gam CMi                          |SB*|07 28 09.7930317295 +08 55 31.907956790| 7.26 | 5.73 | 4.30 | 3.19 | 2.40 |K3-IIIFe-0.5         |  95 |   0
10  |* gam Sct                          |*  |18 29 11.8538827 -14 33 56.931865      |     ~| 4.739| 4.675|     ~|     ~|A1IV/V               | 104 |   0
11  |* L01 Pup                          |a2*|07 13 13.3506332497 -45 10 57.858062088|     ~| 4.855| 4.874|     ~|     ~|B9V                  |  77 |   0
12  |* ome Sco                          |bC*|16 06 48.4269211 -20 40 09.090235      | 3.10 | 3.92 | 3.97 | 3.91 | 3.99 |B1V                  | 438 |   0
13  |* eta Oph B                        |*  |17 10 22.636800 -15 43 30.65592        |     ~| 3.36 | 3.26 |     ~|     ~|A3(V)                |   7 |   0
14  |* g Cen                            |LP*|13 49 26.7217509 -34 27 02.792908      | 7.15 | 5.69 | 4.19 | 2.06 | 0.19 |M5-III:              | 134 |   0
